sentence,target,label,implicit,source
"the large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,0,1,restaurants
"have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",waiters,0,0,restaurants
"have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",diners,2,1,restaurants
"while this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs.",chef,0,1,restaurants
"while this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs.",dishes,0,0,restaurants
"while this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs.",cuisine,2,0,restaurants
"while this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs.",Indian,0,0,restaurants
the owner truly caters to all your needs.,owner,0,0,restaurants
he takes real pride in his food and his business.,food,0,0,restaurants
"so if you want a nice, enjoyable meal at montparnasse, go early for the pre-theater prix-fixe.",meal,0,0,restaurants
"so if you want a nice, enjoyable meal at montparnasse, go early for the pre-theater prix-fixe.",pre-theater prix-fixe,0,0,restaurants
"over the years, it has always provided a pleasurable dining experience with quality food and wine.",food,0,0,restaurants
"over the years, it has always provided a pleasurable dining experience with quality food and wine.",wine,0,0,restaurants
"over the years, it has always provided a pleasurable dining experience with quality food and wine.",dining,0,0,restaurants
"the photobook menu was a cute touch, certainly helped my group and i pick the fried chicken, pork chop, and noodle dishes that we all ordered.",menu,0,0,restaurants
"the photobook menu was a cute touch, certainly helped my group and i pick the fried chicken, pork chop, and noodle dishes that we all ordered.",fried chicken,2,1,restaurants
"the photobook menu was a cute touch, certainly helped my group and i pick the fried chicken, pork chop, and noodle dishes that we all ordered.",pork chop,2,1,restaurants
"the photobook menu was a cute touch, certainly helped my group and i pick the fried chicken, pork chop, and noodle dishes that we all ordered.",noodle dishes,2,1,restaurants
i cannot imagine better indian food in all of the city.,Indian food,0,0,restaurants
great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,privacy,0,1,restaurants
great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,corner booth table,0,0,restaurants
great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,place,0,0,restaurants
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,manager,1,1,restaurants
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,open faced cheese sandwich,2,1,restaurants
very good breads as well.,breads,0,0,restaurants
"if this happens, just ask for real naan.",naan,2,1,restaurants
we were fans of the half-price saturday night option until some inedible squid during a recent visit.,squid,1,0,restaurants
we were fans of the half-price saturday night option until some inedible squid during a recent visit.,half-price Saturday night option,0,0,restaurants
"pizza is terrific, as is homemade pasta.",Pizza,0,0,restaurants
"pizza is terrific, as is homemade pasta.",homemade pasta,0,0,restaurants
this is a wonderful place on all stand points especially value ofr money.,value ofr money,0,0,restaurants
example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,soup,0,1,restaurants
example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,mushrooms,0,1,restaurants
there are other people waiting!,waiting,1,1,restaurants
"from beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",beginning appetizers,0,0,restaurants
"from beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",scallops,0,0,restaurants
"from beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",chocolate souffle with rasberry mint sorbet,0,0,restaurants
"from beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",taste,0,0,restaurants
consistently good japanese tapas.,Japanese Tapas,0,0,restaurants
"my goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",fish,0,0,restaurants
"my goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",rice,0,0,restaurants
"my goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",seaweed,0,0,restaurants
"the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).",dishes,0,0,restaurants
"the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).",lamb sausages,0,0,restaurants
"the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).",sardines with biscuits,0,0,restaurants
"the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).",large whole shrimp,0,0,restaurants
"the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).",pistachio ice cream,0,0,restaurants
the food is reliable and the price is moderate.,food,0,0,restaurants
the food is reliable and the price is moderate.,price,2,0,restaurants
"while the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,0,0,restaurants
"while the ambiance and atmosphere were great, the food and service could have been a lot better.",atmosphere,0,0,restaurants
"while the ambiance and atmosphere were great, the food and service could have been a lot better.",food,1,0,restaurants
"while the ambiance and atmosphere were great, the food and service could have been a lot better.",service,1,0,restaurants
the server was really cool and served us our food and drinks with a smile.,server,0,0,restaurants
the server was really cool and served us our food and drinks with a smile.,food,2,1,restaurants
the server was really cool and served us our food and drinks with a smile.,drinks,2,1,restaurants
the server was really cool and served us our food and drinks with a smile.,served,0,1,restaurants
we were in search of food and stumbled on this block of indian restaurants on east sixth street.,food,2,1,restaurants
"planet thailand has always been a hit with me , i go there usually for the sushi, which is great , the thai food is excellent too .",sushi,0,0,restaurants
"planet thailand has always been a hit with me , i go there usually for the sushi, which is great , the thai food is excellent too .",thai food,0,0,restaurants
"very excited to hear that short-term chef jason narone has moved on, he truly was a low point of their sterling track record.",Chef,1,1,restaurants
i had to share my table with a loud group of kids and the service was rude an unattentive.,service,1,0,restaurants
i had to share my table with a loud group of kids and the service was rude an unattentive.,table,1,0,restaurants
the sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,garlic,0,1,restaurants
the sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,fresh tomatoes,0,0,restaurants
the sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,sauce on the pizza,0,0,restaurants
"we recently decided to try this location, and to our delight, they have outdoor seating, perfect since i had my yorkie with me.",outdoor seating,0,0,restaurants
"my husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",mesclun,0,0,restaurants
"my husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",salmon,0,0,restaurants
"my husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",ice cream,0,0,restaurants
"my husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",courses,0,0,restaurants
we were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,2,1,restaurants
the food is usually good but it certainly isn't a relaxing place to go.,food,0,0,restaurants
the food is usually good but it certainly isn't a relaxing place to go.,place,1,0,restaurants
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",staff,0,0,restaurants
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",bistro fare,0,0,restaurants
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",chilaquiles,0,0,restaurants
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",jazz brunch,0,0,restaurants
"super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",live jazz,0,0,restaurants
the prices were fantastic.,prices,0,0,restaurants
"still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,0,1,restaurants
"the table service could have been a little more attentive but as someone who also works in the service industry, i understood they were busy.",service,2,0,restaurants
"it's not mind-blowing, but to me, thai food never is and never will be.",thai food,2,0,restaurants
"food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",Food,0,0,restaurants
"food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",pork belly,1,0,restaurants
"food was very good as well, considering that we tried the budget selection (though i wish the pork belly that i ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",fat,1,0,restaurants
"i've been to sapphire twice and both times the food was fine, if not good.",food,0,0,restaurants
it is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,tables,1,0,restaurants
it is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,dinner,0,0,restaurants
it is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,place,0,0,restaurants
i love the fact that the pizza tastes so good and is so cheap.,pizza,0,0,restaurants
nicky the nose at the bar is a treat.,bar,2,1,restaurants
"service was prompt, friendly and great.",Service,0,0,restaurants
"i haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",lamb chop,0,0,restaurants
"i haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",salads,0,0,restaurants
"i haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",lemon,0,1,restaurants
"i haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",extra virgnin olive oil,0,1,restaurants
the sushi was awful!,sushi,1,0,restaurants
you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here.,meal,0,0,restaurants
you can get an excellent meal at most of the many indian restaurants on nearby lexington avenue for the cost of one the dainty dishes here.,dishes,0,0,restaurants
"the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",Pastrami sandwich,0,0,restaurants
"the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",beer,0,0,restaurants
"the pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",pickles,0,1,restaurants
the plain pizza was soggy and the creative wild mushroom(third generation-fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,plain pizza,1,0,restaurants
the plain pizza was soggy and the creative wild mushroom(third generation-fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,truffle oil,2,0,restaurants
the plain pizza was soggy and the creative wild mushroom(third generation-fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,wild mushroom(third generation-Fornini) pizza,0,0,restaurants
"late nite omelletes are not good here, there is no variety!",omelletes,1,0,restaurants
"after all that, they complained to me about the small tip.",tip,1,0,restaurants
it's a great place to pick up a cheap lunch or dinner.,lunch,0,0,restaurants
it's a great place to pick up a cheap lunch or dinner.,dinner,0,1,restaurants
"behind this counter, two men are squeezed in.",counter,1,1,restaurants
"whenever you need a sushi fix, mizu will be there with quality fish and great service.",fish,0,0,restaurants
"whenever you need a sushi fix, mizu will be there with quality fish and great service.",service,0,0,restaurants
"whenever you need a sushi fix, mizu will be there with quality fish and great service.",Sushi fix,0,1,restaurants
"our waitress was sweet and accomodating, not overbearing.",waitress,0,0,restaurants
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,reservation sigh,2,1,restaurants
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,table,1,1,restaurants
i was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,food,1,0,restaurants
"despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",menu,1,0,restaurants
"despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",food art,0,0,restaurants
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,0,0,restaurants
"a large is $20, and toppings are about $3 each.",toppings,2,1,restaurants
brick oven gallery is my pick for best pizza restaurant anywhere.,pizza,0,0,restaurants
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,0,0,restaurants
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,0,0,restaurants
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,0,0,restaurants
"for many people, this may not seem like aunthentic thai food because most places in nyc arent quite authentic.",Thai food,1,0,restaurants
"growing up in ny, i have eaten my share of bagels.",bagels,2,1,restaurants
"oh, don't even let me start with how expensive the bills were!",bills,1,0,restaurants
the scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,2,0,restaurants
the scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,2,0,restaurants
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,0,0,restaurants
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",salads,0,0,restaurants
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",steak,0,0,restaurants
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,0,0,restaurants
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",table,1,1,restaurants
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",served,1,1,restaurants
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",dishes,1,0,restaurants
"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",bill,1,1,restaurants
service is top notch.,Service,0,0,restaurants
the food now is inconsistent.,food,1,0,restaurants
"you can also special order any kind of dumpling,etc.",dumpling,0,1,restaurants
i was pretty much full after our fondue appetizer.,fondue appetizer,2,0,restaurants
be careful before you request extra spice.,spice,2,0,restaurants
the octopus eaters were floored by the octopus salad.,Octopus salad,0,0,restaurants
we thought that this place is using too much of msg cooking in the foods.,foods,1,1,restaurants
we thought that this place is using too much of msg cooking in the foods.,MSG cooking,1,0,restaurants
and the tom kha soup was pathetic.,Tom Kha soup,1,0,restaurants
i started out with a bombay beer which was big enough for two.,Bombay beer,0,0,restaurants
"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",decor,0,0,restaurants
"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",dining hall,0,0,restaurants
"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",semi-private boths,0,1,restaurants
service was quick.,Service,0,0,restaurants
drawbacks: service is slow and they don't toast!,service,1,0,restaurants
went there for an office lunch.,office lunch,2,1,restaurants
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,sweet lassi,0,0,restaurants
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,lamb chettinad,0,1,restaurants
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,garlic naan,0,1,restaurants
the sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,rasamalai,1,0,restaurants
"we've been following chef lyle's food around new york for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",bistro fare,0,0,restaurants
"we've been following chef lyle's food around new york for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",chef,0,1,restaurants
"we've been following chef lyle's food around new york for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",food,0,0,restaurants
the best thing i tasted were the lambchops.,lambchops,0,0,restaurants
the spicy tuna and salmon are the best we've ever had.,spicy tuna,0,0,restaurants
the spicy tuna and salmon are the best we've ever had.,salmon,0,0,restaurants
"even though its good seafood, the prices are too high.",seafood,0,0,restaurants
"even though its good seafood, the prices are too high.",prices,1,0,restaurants
"in addition, the food is very good and the prices are reasonable.",food,0,0,restaurants
"in addition, the food is very good and the prices are reasonable.",prices,0,0,restaurants
"upon entering, we were greeted by the owners, steven and frederick, who went out of their way to be more than gracious hosts.",owners,0,1,restaurants
"upon entering, we were greeted by the owners, steven and frederick, who went out of their way to be more than gracious hosts.",hosts,0,0,restaurants
been going here since it opened have seen the quality value decrease considerably.,quality value,1,0,restaurants
"meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",Meat dishes,2,1,restaurants
"meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",vegetarian-friendly choices,0,0,restaurants
reasonable prices.,prices,0,0,restaurants
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,amuse bouche,0,0,restaurants
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,dessert,0,0,restaurants
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,tables,0,1,restaurants
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,service,0,1,restaurants
"try the crunchy tuna, it is to die for.",crunchy tuna,0,0,restaurants
it won't break the bank but i also wouldnt come back for the food.,food,1,1,restaurants
"all in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",sushi,0,0,restaurants
it is a lot of fun with live entertainment and all kinds of disney type special effects.,live entertainment,0,0,restaurants
it is a lot of fun with live entertainment and all kinds of disney type special effects.,special effects,0,0,restaurants
"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).",sushi,0,0,restaurants
"no refills on fountain drinks, though.",fountain drinks,1,1,restaurants
wow over 100 beers to choose from.,beers,0,1,restaurants
be careful of portions - they're huge.,portions,0,0,restaurants
"the steak tartare is a great bet, they fix it for you at the table.",Steak Tartare,0,0,restaurants
my first time there i happened not to like the crab croquette apt that i ordered and they were happy to change it for me without making no big deal.,Crab Croquette apt,1,1,restaurants
great for large groups and celebrations - our super happy waiter was the entertainment of the evening.,waiter,0,0,restaurants
did i mention the wine?,wine,2,1,restaurants
"plus, on wednesday nights the house wine is unlimited!",house wine,0,0,restaurants
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,bread,1,1,restaurants
the dim sum servings here are a bit larger than i'm used to.,dim sum servings,2,0,restaurants
"however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",management,2,0,restaurants
"however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",door,0,0,restaurants
"however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",glass front,1,1,restaurants
we won't go to this place again for a good meal.,meal,1,0,restaurants
"barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",Barbecued codfish,0,0,restaurants
"barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",seasoning,1,0,restaurants
"barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",spice rub,1,0,restaurants
"barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",herb mix,1,0,restaurants
"barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",sauce,1,0,restaurants
"after dinner, take your date to the huge dance floor, probably one of the biggest you'll see in ny.",dance floor,0,0,restaurants
"after dinner, take your date to the huge dance floor, probably one of the biggest you'll see in ny.",dinner,2,1,restaurants
taj mahal offeres gret value and great food.,value,0,0,restaurants
taj mahal offeres gret value and great food.,food,0,0,restaurants
has the chef and owner changed???,chef,2,1,restaurants
has the chef and owner changed???,owner,2,1,restaurants
my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience.,dinner,0,0,restaurants
"but don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacon,1,1,restaurants
"but don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",platter,1,1,restaurants
"but don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",in sandwiches,1,1,restaurants
"but don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",frying,1,1,restaurants
"but don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacos,1,1,restaurants
"outstanding bagels, but you get what you pay for.",Bagels,0,0,restaurants
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",Pizza,0,1,restaurants
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",crust,0,0,restaurants
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza,0,1,restaurants
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",toppings,2,1,restaurants
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!",bread,0,0,restaurants
"i found it on a cold night, the perfect spot to warm up.",spot,0,0,restaurants
they even have a section in the menu called american chinese food!,menu,1,1,restaurants
they even have a section in the menu called american chinese food!,American Chinese food,1,1,restaurants
"service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",Service,0,0,restaurants
"service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",beef carpaachio,0,0,restaurants
"service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",pasta,0,0,restaurants
"service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",portion,0,0,restaurants
kalbi and nebbiolo do work together.,kalbi,2,1,restaurants
kalbi and nebbiolo do work together.,nebbiolo,2,1,restaurants
"best italian food i ever had (and being italian, that means alot).",Italian food,0,0,restaurants
i will recommend scopa to all of my friends for a place to go for wonderful italian food.,Italian food,0,0,restaurants
located at the end of a magnificent block.,Located,0,1,restaurants
"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",meal,0,0,restaurants
"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",room,2,1,restaurants
"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",clubhouse,1,0,restaurants
they don't walk around with the trays of dim sum.,trays of Dim Sum,2,1,restaurants
"great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).",bar,0,0,restaurants
"great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).",bartenders,0,0,restaurants
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,dessert,2,1,restaurants
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,waitress,1,1,restaurants
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,bill,2,1,restaurants
i really loved the different and inovated touch that's the cheff gives to the food.,cheff,0,1,restaurants
i really loved the different and inovated touch that's the cheff gives to the food.,food,0,0,restaurants
they came out over cooked and the cheese was almost non existant.,cheese,1,0,restaurants
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",meal,0,0,restaurants
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",server,0,1,restaurants
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,0,0,restaurants
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",price range,0,1,restaurants
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",priced,2,1,restaurants
"the svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",svc,1,0,restaurants
"the food is good, especially their more basic dishes, and the drinks are delicious.",food,0,0,restaurants
"the food is good, especially their more basic dishes, and the drinks are delicious.",dishes,0,0,restaurants
"the food is good, especially their more basic dishes, and the drinks are delicious.",drinks,0,0,restaurants
but the main hit was the whole grilled fish.,whole grilled fish,0,0,restaurants
"i had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",tuna tartare,0,1,restaurants
"i had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",sake,0,1,restaurants
"i had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",mushroom ravioli,0,1,restaurants
"i had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",pinot noir,0,1,restaurants
"i had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",chocolate sampler,0,1,restaurants
"i had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",dessert wine,0,1,restaurants
on a hot day it was fabulous to stop in and enjoy lunch.,lunch,0,0,restaurants
the food is delicious and beautifully prepared along with the friendly and personable service.,food,0,0,restaurants
the food is delicious and beautifully prepared along with the friendly and personable service.,service,0,0,restaurants
i usually go there later at night when i get off work so i don't have to deal with crowds or lines.,lines,1,1,restaurants
i usually go there later at night when i get off work so i don't have to deal with crowds or lines.,crowds,1,1,restaurants
pizza here is consistently good.,Pizza,0,0,restaurants
we had a great tiem watching the shows and characters and ar food was just what we were looking for.,shows,0,0,restaurants
we had a great tiem watching the shows and characters and ar food was just what we were looking for.,food,0,0,restaurants
we had a great tiem watching the shows and characters and ar food was just what we were looking for.,characters,0,0,restaurants
"after 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",waiter,1,1,restaurants
"after 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,2,1,restaurants
"after 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",manager,1,1,restaurants
"after 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",reservations,0,1,restaurants
wouldn't recomend it for dinner!,dinner,1,0,restaurants
sauce was watery and the food didn't have much flavor.,Sauce,1,0,restaurants
sauce was watery and the food didn't have much flavor.,food,1,0,restaurants
sauce was watery and the food didn't have much flavor.,flavor,1,1,restaurants
my husband and i enjoy sangria.,Sangria,0,0,restaurants
